dwell_time,flight_time,backspaces,incorrect_words,spelling_errors,word_order_errors,requires_assistance,typed_sentence,corrected_sentence
120,154,3,0,0,0,0,They are playing football,They are playing football
133,175,2,3,3,0,1,Im sory for teh mistake,I'm sorry for the mistake
134,165,0,0,0,0,0,They are playing football,They are playing football
110,98,0,2,0,0,1,I lik to eatt appls,I like to eat apples
96,96,6,1,1,1,1,We is going to market today,We are going to market today
138,105,2,2,0,0,1,She go to schoool everdyay,She go to school every day
128,91,5,3,1,0,1,Im sory for teh mistake,I'm sorry for the mistake
128,106,0,2,1,0,1,She go to schoool everdyay,She go to school every day
115,119,2,0,0,0,0,She went to the market,She went to the market
112,171,0,0,0,0,0,She went to the market,She went to the market
117,188,4,2,1,0,1,He dont now the anser,He doesn't know the answer
109,193,1,0,0,0,0,They are playing football,They are playing football
101,130,5,0,0,0,0,They are playing football,They are playing football
145,146,4,2,2,0,1,Plase send the documant,Please send the document
89,136,3,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
143,108,6,2,2,0,1,I lik to eatt appls,I like to eat apples
142,132,1,0,0,0,0,She went to the market,She went to the market
122,135,3,0,0,0,0,They are playing football,They are playing football
134,143,7,0,0,0,0,They are playing football,They are playing football
96,191,4,2,0,0,1,Plase send the documant,Please send the document
82,194,1,3,1,0,1,Im sory for teh mistake,I'm sorry for the mistake
113,161,1,1,1,2,1,We is going to market today,We are going to market today
114,102,0,2,1,0,1,He dont now the anser,He doesn't know the answer
80,137,4,2,1,0,1,Plase send the documant,Please send the document
136,92,7,0,0,0,0,The sun rises in the east,The sun rises in the east
121,150,8,2,0,0,1,I lik to eatt appls,I like to eat apples
131,121,6,2,0,0,1,He dont now the anser,He doesn't know the answer
138,195,5,2,1,0,1,He dont now the anser,He doesn't know the answer
102,156,6,1,0,1,1,We is going to market today,We are going to market today
98,197,1,1,1,0,1,We is going to market today,We are going to market today
144,186,2,0,0,0,0,The sun rises in the east,The sun rises in the east
103,145,2,3,3,0,1,Im sory for teh mistake,I'm sorry for the mistake
81,165,8,2,0,0,1,She go to schoool everdyay,She go to school every day
103,193,6,0,0,0,0,The sun rises in the east,The sun rises in the east
130,143,8,2,0,0,1,Plase send the documant,Please send the document
80,117,2,2,1,0,1,He dont now the anser,He doesn't know the answer
106,148,3,2,1,0,1,I lik to eatt appls,I like to eat apples
147,158,6,0,0,0,0,They are playing football,They are playing football
94,95,3,0,0,0,0,The sun rises in the east,The sun rises in the east
140,164,0,0,0,2,1,The cat in sited mat the on,The cat in sited mat the on
126,165,3,3,0,0,1,Im sory for teh mistake,I'm sorry for the mistake
133,167,0,2,0,0,1,I lik to eatt appls,I like to eat apples
108,194,1,3,2,0,1,Im sory for teh mistake,I'm sorry for the mistake
143,131,8,0,0,0,0,They are playing football,They are playing football
140,119,3,1,1,2,1,We is going to market today,We are going to market today
110,168,1,0,0,1,1,The cat in sited mat the on,The cat in sited mat the on
132,193,0,0,0,0,0,They are playing football,They are playing football
142,195,7,0,0,0,0,She went to the market,She went to the market
98,94,1,2,0,0,1,I lik to eatt appls,I like to eat apples
120,162,0,0,0,0,0,They are playing football,They are playing football
80,169,2,2,2,0,1,Plase send the documant,Please send the document
124,129,3,0,0,0,0,They are playing football,They are playing football
124,165,4,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
95,150,8,0,0,0,0,She went to the market,She went to the market
96,171,6,2,1,0,1,I lik to eatt appls,I like to eat apples
148,101,3,1,1,2,1,We is going to market today,We are going to market today
150,122,8,0,0,0,0,They are playing football,They are playing football
103,176,0,0,0,0,0,She went to the market,She went to the market
120,113,1,2,1,0,1,I lik to eatt appls,I like to eat apples
125,111,1,3,0,0,1,Im sory for teh mistake,I'm sorry for the mistake
143,184,2,1,0,0,1,We is going to market today,We are going to market today
150,118,7,0,0,0,0,They are playing football,They are playing football
145,104,6,2,1,0,1,She go to schoool everdyay,She go to school every day
101,172,2,2,0,0,1,I lik to eatt appls,I like to eat apples
134,104,2,0,0,0,0,She went to the market,She went to the market
134,166,8,1,0,1,1,We is going to market today,We are going to market today
111,130,1,0,0,2,1,The cat in sited mat the on,The cat in sited mat the on
125,109,8,3,1,0,1,Im sory for teh mistake,I'm sorry for the mistake
103,156,3,2,1,0,1,He dont now the anser,He doesn't know the answer
145,145,8,2,2,0,1,I lik to eatt appls,I like to eat apples
94,114,2,2,1,0,1,She go to schoool everdyay,She go to school every day
142,158,0,0,0,0,0,They are playing football,They are playing football
142,155,1,2,2,0,1,I lik to eatt appls,I like to eat apples
88,169,0,2,2,0,1,I lik to eatt appls,I like to eat apples
148,162,2,0,0,0,0,She went to the market,She went to the market
101,131,5,2,2,0,1,Plase send the documant,Please send the document
105,113,4,2,2,0,1,He dont now the anser,He doesn't know the answer
103,177,7,0,0,0,0,The sun rises in the east,The sun rises in the east
129,199,1,2,1,0,1,Plase send the documant,Please send the document
89,178,2,0,0,0,0,The sun rises in the east,The sun rises in the east
80,192,1,0,0,0,0,She went to the market,She went to the market
109,111,8,3,3,0,1,Im sory for teh mistake,I'm sorry for the mistake
83,99,6,2,0,0,1,She go to schoool everdyay,She go to school every day
90,159,7,1,0,0,1,We is going to market today,We are going to market today
136,160,1,2,2,0,1,Plase send the documant,Please send the document
83,141,8,2,2,0,1,I lik to eatt appls,I like to eat apples
123,110,2,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
102,99,6,2,2,0,1,He dont now the anser,He doesn't know the answer
86,101,7,1,0,1,1,We is going to market today,We are going to market today
88,100,1,0,0,0,0,They are playing football,They are playing football
102,102,7,2,2,0,1,She go to schoool everdyay,She go to school every day
143,164,5,2,0,0,1,She go to schoool everdyay,She go to school every day
88,98,8,0,0,0,0,They are playing football,They are playing football
82,130,4,1,0,0,1,We is going to market today,We are going to market today
